#Variantes versión 3.4
#Catálogo 8 (Grado de estudios)
Sin instrucción, sin educación, sin ningún grado de estudio, No tengo estudios
No tengo estudios, Sin instrucción, sin educación, sin ningún grado de estudio
Saber leer, leer, comprensión de lectura
Saber escribir, escribir, escritura
Primaria, escuela primaria
Ensamblador de maquinaria mecánica, Ensamblador especializado en maquinaria mecánica 
Ensamblador de partes para aviones, Ensamblador especializado en partes para aviones
Ensamblador de equipos eléctricos, Ensamblador especializado en equipos eléctricos, Ensamblador de equipos electrónicos, Ensamblador especializado en equipos electrónicos

Motorista de barco, Motorista con especialidad en barcos, Motorista de embarcaciones

Conductor de lanchas, Conductor con especialidad en lanchas, operador de lanchas
Conductor de maquinaria pesada en la construcción, Conductor de maquinaria pesada especializada en la construcción, Operador de maquinaria pesada en la construcción
Conductor de maquinaria pesada en la minería, Conductor de maquinaria pesada especializada en la minería, Operador de maquinaria pesada en la minería
Conductor de montacargas, Conductor de equipo montacargas, Operador de montacargas
Conductor de bicitaxi, Conductor con especialidad en bicitaxi, operador de bicitaxi, conductor de bicitaxi, chofer de bicitaxi

Limpiador de terrenos de cultivo, Limpiador de terrenos para cultivo 

Peón jornalero agrícola, Peón jornalero en la industria agrícola

Cargador de mineral, Cargador de bultos de mineral 
Cargador de materiales, Cargador de bultos de material 
Cargador de mercancías, Cargador de bultos de mercancía 
Cargador de mudanzas, Cargador de bultos de mudanza

Estibador de mina galería, Estibador de mina en galería

Malacatero de mina, Malacatero en mina

Empacador de prendas de vestir, Empacador de prendas 
Empacador de alimentos, Empacador de productos alimenticios

Comerciante ambulante de helados, Comerciante de helados ambulante 

Empleada doméstica, Empleada del hogar, Servidumbre

Mozo de casa, Dependiente de casa
Mozo de hotel, Dependiente de hotel
Mozo de restaurante, Dependiente de restaurante

Lavador de platos, Aseador de platos 
Lavador de vehículos en establecimiento, Aseador de vehículos en establecimiento 
Lavador de vehículos en vía pública, Aseador de vehículos en vía pública

Acomodador de autos, Acomodador de vehículos, Valet Parking

Cuidador de autos en estacionamiento, Cuidador de vehículos en estacionamiento, Vieneviene

Carpintero en obra negra, Carpintero especializado en obra negra 
Carpintero de muebles, Carpintero especializado en muebles

Minero, Trabajador de mina

Arenero, Proveedor de arena

Cantero, Trabajador de cantera

Cribador, Seleccionador de semillas

Perforista, Manejador de explosivos

Albañil, Trabajador de construcción

Palapero, Constructor de palapas

Pastero, Preparador de pastes

Plafonero, Instalador de plafones

Yesero, Reparador con yeso

Adoquinero, Instalador de adoquines

Azulejero, Instalador de azulejos

Pintor de barcos, Pintor especializado en barcos 
Pintor de automóviles, Pintor especializado en automóviles, Pintor de autos 
Pintor de estructuras metálicas, Pintor especializado en estructuras metálicas 
Pintor de muebles metálicos, Pintor especializado en muebles metálicos 
Pintor de calzado, Pintor especializado en calzado, Pintor de zapato 

Pulidor de joyas, Pulidor de alhajas

Tallador de muebles de madera, Tallador de mobiliario de madera

Barnizador de muebles, Barnizador de mobiliario

Tejedor de canastos de carrizo, Tejedor especializado en canastos de carrizo
Tejedor de cintas de palma, Tejedor especializado en cintas de palma
Tejedor de mimbre, Tejedor especializado en mimbre 
Tejedor de petates, Tejedor especializado en petates 
Tejedor de sombreros, Tejedor especializado en sombreros 
Tejedor de prendas de vestir, Tejedor especializado en prendas de vestir 
Tejedor de huipiles, Tejedor especializado en huipiles
Tejedor de hamacas, Tejedor especializado en hamacas
Tejedor de cobijas, Tejedor especializado en cobijas 
Tejedor de carpetas,  Tejedor especializado en carpetas
Tejedor de blusas de manta, Tejedor especializado en blusas de manta

Revelador de fotografía, Revelador de material fotográfico
Revelador de películas, Revelador de material cinematográfico

Costurera de prendas de vestir, Costurera especializada en prendas de vestir

Cortador de ropa en taller, Cortador especializado en ropa de taller

Tapicero automotriz, Tapicero de la industria automotriz 
Tapicero de muebles, Tapicero de mobiliario

Raspador de cueros, Raspador de cuero

Rasurador de pieles, Rasurador de piel

Seleccionador de piel, Seleccionador de pieles

Acabador de calzado, Acabador de zapatos

Armador de calzado, Armador de zapatos

Cosedor de calzado, Cosedor de zapatos

Patronista de calzado, Patronista de zapatos

Reparador de calzado, Reparador de zapatos

Igualador de colores, Igualador cromático

Encurtidor de vegetales, Encurtidor de productos vegetales

Elaborador de dulces, Elaborador de productos de confitería

Labrador de cantera, Labrador en cantera


#Agregados por Víctor Mijangos
#Estas variantes se basan en infocatalogoOcupación

Chofer vendedor, Chofer encargado de ventas
Chofer repartidor, Chofer encargado de distribución
Chofer de camión materialista, Chofer de camión de materiales, operador de camión materialista 
Chofer de vehículos de carga, Chofer de vehículos pesados de carga, operador de vehículos de carga
Chofer de vehículos de paquetería, Chofer de transporte de paquetería, operador de vehículos de paquetería
#Chofer de vehículos de mensajería, Chofer de transporte de mensajería, operador de vehículos de mensajería
Chofer de vehículos de paquetería,Chofer de vehículos de mensajería,Chofer de transporte mensajería,Chofer de transporte paquetería
Chofer de pipa de agua, Chofer de pipa, operador de pipa 
Chofer de camión de basura, Chofer de transporte de basura, operador de camión de basura
Chofer de taxi, Chofer de unidad de taxi, operador de taxi, taxista 
Chofer de ambulancia, Chofer encargado de ambulancia
Chofer de vehículos para transporte de personal, Chofer encargado de vehículos para transporte de personal, operador de vehículos para transporte de personal 
Chofer de autobús escolar, Chofer encargado de autobús escolar, operador de autobús escolar 
Chofer de vehículo particular, Chofer encargado de vehículo particular, chofer, operador de vehículo particular
Chofer de transportes públicos masivos, operador de transporte público

Animador (música programada), DJ
Arquitecto urbanista, urbanista
Asesor de nutrición, nutriólogo

Avicultor, criador de aves
Buzo de salvamento, Hombre rana de salvamento, salvavidas

Candelillero, elaborador de cera
Capacitador, instructor de personal
Cinematografista, cinematógrafo, cineasta
Cirujano dentista, dentista
Cohetero, pirotécnico, fabricador de cohetes
Conductor de mototaxi, chofer de mototaxi, operador de mototaxi, Conductor con especialidad en mototaxi
Conductor de tren, maquinista, operador de tren
Corrector de estilo, corrector de ortografía
Corresponsal, reportero
Criador de ganado ovino, ovejero
Digitalizador, operador de escáner
Diseñador de páginas web, programador gráfico
Especialista en métodos enseñanza, educador
Guía de buceo, Guía en ruta de buceo
Herrador de caballos, Herrador equino
Licenciado derecho, Abogado
Licenciado literatura dramática, dramaturgo
Licenciado psicopedagogía, psicopedagogo
Mecánico reparación automotriz, Mecánico automotriz
Médico, Cirujano, Doctor
Mezclador de música, DJ
Partera, Obstetra
Piscicultor, Criador de peces
Politólogo, Analista político
Preparador físico, entrenador físico
Programador sistemas computacionales, Programador informático
Reportero gráfico, Corresponsal gráfico
Rescatista, Socorrista
Stripper, Desnudista
Técnico administrativo, Técnico especializado en administración 
Vendedor ambulante, Comerciante ambulante
Vocero, Anunciador
Encuestador, Practicador de encuestas, Encuestas
Floricultor, Cultivador de flores
Franelero, Limpiador de coches, Limpiador de autos
